,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCHES
142,CÉSAR TÁRREGA,VALENCIA CF,2,34,0.06
143,DANI GÓMEZ,VALENCIA CF,2,14,0.14
144,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,2,34,0.06
145,SHERALDO BECKER,REAL SOCIEDAD,2,22,0.09
146,MARTÍN ZUBIMENDI,REAL SOCIEDAD,2,36,0.06
147,SERGIO GÓMEZ,REAL SOCIEDAD,2,37,0.05
148,ANDREI RATIU,RAYO VALLECANO,2,35,0.06
149,FLORIAN LEJEUNE,RAYO VALLECANO,2,37,0.05
150,ABDUL MUMIN,RAYO VALLECANO,2,24,0.08
151,LUKA MODRIC,REAL MADRID,2,35,0.06
152,ABDÓN PRATS,RCD MALLORCA,2,24,0.08
153,SERGI DARDER,RCD MALLORCA,2,38,0.05
154,ANTONIO RAÍLLO,RCD MALLORCA,2,36,0.06
155,TAKUMA ASANO,RCD MALLORCA,2,21,0.10
156,MARCOS LLORENTE,ATLÉTICO DE MADRID,2,33,0.06
157,GIULIANO SIMEONE,ATLÉTICO DE MADRID,2,33,0.06
158,CARLOS ROMERO,RCD ESPANYOL DE BARCELONA,2,34,0.06
159,KIKE PÉREZ,REAL VALLADOLID CF,2,19,0.11
160,IVÁN SÁNCHEZ AGUAYO,REAL VALLADOLID CF,2,32,0.06
161,IVÁN CANTALEJO,REAL VALLADOLID CF,2,18,0.11
162,JAVI SÁNCHEZ DE FELIPE,REAL VALLADOLID CF,2,25,0.08
163,LOGAN EVANS COSTA,VILLARREAL CF,2,32,0.06
164,CARLOS MARTÍN,DEPORTIVO ALAVÉS,2,26,0.08
165,BOJAN MIOVSKI,GIRONA FC,2,17,0.12
166,VIKTOR TSYHANKOV,GIRONA FC,2,27,0.07
167,CLÉMENT LENGLET,ATLÉTICO DE MADRID,2,23,0.09
168,ENZO BOYOMO,CA OSASUNA,2,37,0.05
169,JESÚS RODRIGUEZ,REAL BETIS,2,21,0.10
170,VALERY FERNÁNDEZ,RCD MALLORCA,2,18,0.11
171,ADNAN JANUZAJ,UD LAS PALMAS,2,18,0.11
172,CÉDRIC BAKAMBU,REAL BETIS,2,25,0.08
173,ÁLVARO RODRÍGUEZ,GETAFE CF,2,22,0.09
174,ANUAR TUHAMI,REAL VALLADOLID CF,2,26,0.08
175,FRENKIE DE JONG,FC BARCELONA,2,26,0.08
176,FERNANDO LÓPEZ,CELTA,2,17,0.12
177,ARKAITZ MARIEZKURRENA,REAL SOCIEDAD,2,9,0.22
178,RUBÉN VARGAS,SEVILLA FC,2,11,0.18
179,MOUCTAR DIAKHABY,VALENCIA CF,2,13,0.15
180,YAN DIOMANDE,CD LEGANÉS,2,10,0.20
181,UNAI GÓMEZ,ATHLETIC CLUB,1,32,0.03
182,YERAY ÁLVAREZ,ATHLETIC CLUB,1,21,0.05
183,BEÑAT PRADOS,ATHLETIC CLUB,1,30,0.03
184,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,1,27,0.04
185,IVÁN MARTÍN,GIRONA FC,1,32,0.03
186,MIGUEL GUTIÉRREZ,GIRONA FC,1,29,0.03
187,DAVID LÓPEZ,GIRONA FC,1,29,0.03
188,JHON SOLÍS,GIRONA FC,1,19,0.05
189,GABRIEL MISEHOUY,GIRONA FC,1,9,0.11
190,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,1,22,0.05
191,OMAR ALDERETE,GETAFE CF,1,34,0.03
192,LUIS MILLA,GETAFE CF,1,33,0.03
193,ASSANE DIAO,REAL BETIS,1,10,0.10
194,AITOR RUIBAL,REAL BETIS,1,29,0.03
195,JAVI MUÑOZ,UD LAS PALMAS,1,35,0.03
196,ASIER VILLALIBRE,DEPORTIVO ALAVÉS,1,16,0.06
197,CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,1,18,0.06
198,TOMÁS CONECHNY,DEPORTIVO ALAVÉS,1,22,0.05
199,MORIBA KOUROUMA KOUROUMA,CELTA,1,33,0.03
200,CARL STARFELT,CELTA,1,28,0.04
201,JESÚS NAVAS,SEVILLA FC,1,15,0.07
202,GERARD FERNÁNDEZ CASTELLANO,SEVILLA FC,1,26,0.04
203,LOÏC BADÉ,SEVILLA FC,1,32,0.03
204,ADRIÀ PEDROSA,SEVILLA FC,1,31,0.03
205,LUCIEN AGOUMÉ,SEVILLA FC,1,35,0.03
206,STANIS IDUMBO,SEVILLA FC,1,14,0.07
207,NEMANJA GUDELJ,SEVILLA FC,1,31,0.03
208,MARC CASADÓ,FC BARCELONA,1,23,0.04
209,GERARD MARTÍN,FC BARCELONA,1,28,0.04
210,YVAN NEYOU,CD LEGANÉS,1,30,0.03
211,VALENTIN ROSIER,CD LEGANÉS,1,32,0.03
212,DARKO BRASANAC,CD LEGANÉS,1,30,0.03
213,ENRIC FRANQUESA,CD LEGANÉS,1,12,0.08
214,MIGUEL DE LA FUENTE,CD LEGANÉS,1,34,0.03
215,ÓSCAR RODRÍGUEZ,CD LEGANÉS,1,29,0.03
216,RENATO TAPIA,CD LEGANÉS,1,34,0.03
217,BRYAN ZARAGOZA,CA OSASUNA,1,27,0.04
218,JORGE HERRANDO,CA OSASUNA,1,18,0.06
219,PABLO IBÁÑEZ,CA OSASUNA,1,28,0.04
220,ALEJANDRO CATENA,CA OSASUNA,1,35,0.03
221,CRISTHIAN MOSQUERA,VALENCIA CF,1,37,0.03
222,RAFA MIR,VALENCIA CF,1,20,0.05
223,PABLO MARÍN,REAL SOCIEDAD,1,23,0.04
224,JON ARAMBURU,REAL SOCIEDAD,1,35,0.03
225,ANDER BARRENETXEA,REAL SOCIEDAD,1,30,0.03
226,LUKA SUCIC,REAL SOCIEDAD,1,29,0.03
227,JON OLASAGASTI,REAL SOCIEDAD,1,22,0.05
228,ÓSCAR TREJO,RAYO VALLECANO,1,19,0.05
229,ADRI EMBARBA,RAYO VALLECANO,1,35,0.03
230,ENDRICK FELIPE MOREIRA DE SOUSA,REAL MADRID,1,22,0.05
231,ÉDER GABRIEL MILITÃO,REAL MADRID,1,12,0.08
232,DANI CARVAJAL,REAL MADRID,1,8,0.13
233,LUCAS VÁZQUEZ,REAL MADRID,1,32,0.03
234,JACOBO RAMÓN,REAL MADRID,1,3,0.33
235,OMAR MASCARELL,RCD MALLORCA,1,32,0.03
236,JOHAN MOJICA,RCD MALLORCA,1,36,0.03
237,ROBIN LE NORMAND,ATLÉTICO DE MADRID,1,27,0.04
238,PABLO BARRIOS,ATLÉTICO DE MADRID,1,31,0.03
239,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,1,14,0.07
240,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,1,32,0.03
241,ÁLVARO TEJERO,RCD ESPANYOL DE BARCELONA,1,28,0.04
242,FERNANDO CALERO,RCD ESPANYOL DE BARCELONA,1,21,0.05
243,IRVIN CARDONA,RCD ESPANYOL DE BARCELONA,1,16,0.06
244,ALEJO VÉLIZ,RCD ESPANYOL DE BARCELONA,1,27,0.04
245,MARCOS ANDRÉ DE SOUSA MENDONÇA,REAL VALLADOLID CF,1,22,0.05
246,SERGI CARDONA,VILLARREAL CF,1,35,0.03
247,ILIAS AKHOMACH,VILLARREAL CF,1,11,0.09
248,SAÚL ÑÍGUEZ,SEVILLA FC,1,24,0.04
249,MANU SÁNCHEZ,DEPORTIVO ALAVÉS,1,33,0.03
250,JORGE SÁENZ,CD LEGANÉS,1,23,0.04
251,NATAN BERNARDO DE SOUZA,REAL BETIS,1,31,0.03
252,ÁLVARO DJALÓ,ATHLETIC CLUB,1,17,0.06
253,WALID CHEDDIRA,RCD ESPANYOL DE BARCELONA,1,22,0.05
254,ENZO BARRENECHEA,VALENCIA CF,1,30,0.03
255,KARL EDOUARD BLAISE ETTA EYONG,VILLARREAL CF,1,4,0.25
256,ROBERT NAVARRO,RCD MALLORCA,1,23,0.04
257,BERTUG YILDIRIM,GETAFE CF,1,22,0.05
258,COBA DA COSTA,GETAFE CF,1,19,0.05
259,MATIJA NASTASIC,CD LEGANÉS,1,26,0.04
260,DENIS SUÁREZ,VILLARREAL CF,1,21,0.05
261,DÁRIO CASSIA LUÍS ESSUGO,UD LAS PALMAS,1,27,0.04
262,MANU BUENO,SEVILLA FC,1,9,0.11
263,EDUARDO CAMAVINGA,REAL MADRID,1,19,0.05
264,ALLAN NYOM,GETAFE CF,1,20,0.05
265,PABLO PÁEZ GAVIRA,FC BARCELONA,1,26,0.04
266,RAMÓN MARTÍNEZ,SEVILLA FC,1,5,0.20
267,RONALD ARAUJO,FC BARCELONA,1,12,0.08
268,JUAN FOYTH,VILLARREAL CF,1,19,0.05
269,ÁLVARO MIGUEL GARCÍA PASCUAL,SEVILLA FC,1,8,0.13
270,ARSEN ZAKHARYAN,REAL SOCIEDAD,1,3,0.33
271,MAROAN SANNADI,ATHLETIC CLUB,1,16,0.06
272,IKER LOSADA,CELTA,1,22,0.05
273,PAU CABANES,DEPORTIVO ALAVÉS,1,16,0.06
274,STEFAN BAJCETIC,UD LAS PALMAS,1,14,0.07
275,TAJON BUCHANAN,VILLARREAL CF,1,13,0.08
276,UNAI EGILUZ,ATHLETIC CLUB,0,0,0
277,ADAMA BOIRO,ATHLETIC CLUB,0,18,0
278,OIER GASTESI,ATHLETIC CLUB,0,0,0
279,YURI BERCHICHE,ATHLETIC CLUB,0,30,0
280,JAVIER MARTÓN,ATHLETIC CLUB,0,3,0
281,ANDONI GOROSABEL,ATHLETIC CLUB,0,20,0
282,ANDER HERRERA,ATHLETIC CLUB,0,8,0
283,MIKEL VESGA,ATHLETIC CLUB,0,25,0
284,ÁLEX PADILLA,ATHLETIC CLUB,0,5,0
285,ÍÑIGO LEKUE,ATHLETIC CLUB,0,16,0
286,MALCOM ABDULAI ARES DJALÓ,ATHLETIC CLUB,0,1,0
287,DALEY BLIND,GIRONA FC,0,34,0
288,JOEL ROCA,GIRONA FC,0,0,0
289,IKER ALMENA,GIRONA FC,0,2,0
290,LAUREANO ANTONIO VILLA SUÁREZ,GIRONA FC,0,0,0
291,ORIOL ROMEU,GIRONA FC,0,25,0
292,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,0,12,0
293,PAULO GAZZANIGA,GIRONA FC,0,36,0
294,ALEJANDRO FRANCÉS,GIRONA FC,0,18,0
295,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,0,0
296,PETER FEDERICO GONZÁLEZ CARMONA,GETAFE CF,0,17,0
297,JUAN IGLESIAS,GETAFE CF,0,37,0
298,DJENÉ DAKONAM,GETAFE CF,0,31,0
299,DAVID SORIA,GETAFE CF,0,38,0
300,ALBERTO RISCO,GETAFE CF,0,5,0
301,JESÚS SANTIAGO PÉREZ,GETAFE CF,0,19,0
302,JIRÍ LETÁCEK,GETAFE CF,0,0,0
303,DIEGO FERRER,GETAFE CF,0,0,0
304,NABIL ABERDIN,GETAFE CF,0,7,0
305,ÁLEX SOLA,GETAFE CF,0,19,0
306,DIEGO RICO,GETAFE CF,0,33,0
307,SERGI ALTIMIRA,REAL BETIS,0,32,0
308,ADRIÁN SAN MIGUEL DEL CASTILLO,REAL BETIS,0,19,0
309,YOUSSOUF SABALY,REAL BETIS,0,22,0
310,NABIL FEKIR,REAL BETIS,0,2,0
311,WILLIAM SILVA DE CARVALHO,REAL BETIS,0,14,0
312,LUCAS ALCÁZAR,REAL BETIS,0,0,0
313,RICARDO RODRÍGUEZ,REAL BETIS,0,18,0
314,RODRIGO SÁNCHEZ RODRÍGUEZ,REAL BETIS,0,3,0
315,HÉCTOR BELLERÍN,REAL BETIS,0,9,0
316,FRANCISCO BARBOSA VIEITES,REAL BETIS,0,4,0
317,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,15,0
318,JOSÉ CAMPAÑA,UD LAS PALMAS,0,25,0
319,BENITO RAMÍREZ,UD LAS PALMAS,0,19,0
320,ÁLEX SUÁREZ,UD LAS PALMAS,0,30,0
321,SCOTT MCKENNA,UD LAS PALMAS,0,29,0
322,MIKA MÁRMOL,UD LAS PALMAS,0,30,0
323,DINKO HORKAS,UD LAS PALMAS,0,13,0
324,MARC CARDONA,UD LAS PALMAS,0,11,0
325,IVÁN GIL,UD LAS PALMAS,0,0,0
326,VITI ROZADA,UD LAS PALMAS,0,29,0
327,KIRIAN RODRÍGUEZ,UD LAS PALMAS,0,21,0
328,ENZO LOIODICE,UD LAS PALMAS,0,17,0
329,JAIME MATA,UD LAS PALMAS,0,30,0
330,JUAN HERZOG,UD LAS PALMAS,0,19,0
331,VALENTÍN PEZZOLESI,UD LAS PALMAS,0,1,0
332,JASPER CILLESSEN,UD LAS PALMAS,0,27,0
333,MARVIN PARK,UD LAS PALMAS,0,23,0
334,ABOUBACAR BASSINGA,UD LAS PALMAS,0,1,0
335,ENEKO ORTIZ,DEPORTIVO ALAVÉS,0,0,0
336,JESÚS OWONO,DEPORTIVO ALAVÉS,0,6,0
337,ABDEL ABQAR,DEPORTIVO ALAVÉS,0,29,0
338,JULEN LARTITEGI,DEPORTIVO ALAVÉS,0,0,0
339,ADRIÁN RODRÍGUEZ,DEPORTIVO ALAVÉS,0,2,0
340,ANDER GUEVARA,DEPORTIVO ALAVÉS,0,33,0
341,HUGO NOVOA,DEPORTIVO ALAVÉS,0,5,0
342,LUKA ROMERO,DEPORTIVO ALAVÉS,0,6,0
343,ANTONIO SIVERA,DEPORTIVO ALAVÉS,0,32,0
344,ALEKSANDAR SEDLAR,DEPORTIVO ALAVÉS,0,9,0
345,JOAQUÍN PANICHELLI,DEPORTIVO ALAVÉS,0,0,0
346,JUAN DIEGO MOLINA MARTÍNEZ,DEPORTIVO ALAVÉS,0,16,0
347,ADRIÁN HERNÁNDEZ HERNÁNDEZ,DEPORTIVO ALAVÉS,0,9,0
348,ANTONIO BLANCO,DEPORTIVO ALAVÉS,0,35,0
349,MOUSSA DIARRA,DEPORTIVO ALAVÉS,0,26,0
350,MARC VIDAL,CELTA,0,0,0
351,DAMIÁN RODRÍGUEZ,CELTA,0,17,0
352,JONATHAN BAMBA,CELTA,0,12,0
353,CÉSAR FERNÁNDEZ,CELTA,0,0,0
354,IVÁN VILLAR,CELTA,0,4,0
355,HUGO SOTELO,CELTA,0,24,0
356,SERGIO CARREIRA,CELTA,0,23,0
357,JAVIER MANQUILLO,CELTA,0,10,0
358,CARLOS DOMÍNGUEZ,CELTA,0,19,0
359,JAILSON MARQUES SIQUEIRA,CELTA,0,13,0
360,GONZALO MONTIEL,SEVILLA FC,0,6,0
361,PABLO RIVERA,SEVILLA FC,0,0,0
362,ALBERTO FLORES,SEVILLA FC,0,0,0
363,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,0,12,0
364,ØRJAN NYLAND,SEVILLA FC,0,30,0
365,ALBERTO COLLADO,SEVILLA FC,0,0,0
366,JOSÉ ÁNGEL CARMONA,SEVILLA FC,0,35,0
367,ÁLVARO FERNÁNDEZ,SEVILLA FC,0,9,0
368,LUCAS OCAMPOS,SEVILLA FC,0,2,0
369,TANGUY NIANZOU,SEVILLA FC,0,6,0
370,HÉCTOR FORT,FC BARCELONA,0,17,0
371,ÁLEX VALLE,FC BARCELONA,0,0,0
372,MARC BERNAL,FC BARCELONA,0,3,0
373,ÍÑIGO MARTÍNEZ,FC BARCELONA,0,28,0
374,ANDER ASTRALAGA,FC BARCELONA,0,0,0
375,MARC-ANDRÉ TER STEGEN,FC BARCELONA,0,8,0
376,ALEJANDRO BALDE,FC BARCELONA,0,32,0
377,PAU CUBARSÍ,FC BARCELONA,0,35,0
378,ANDREAS CHRISTENSEN,FC BARCELONA,0,5,0
379,IÑAKI PEÑA,FC BARCELONA,0,16,0
380,SERGI DOMÍNGUEZ,FC BARCELONA,0,3,0
381,LALO AGUILAR,CD LEGANÉS,0,0,0
382,ÁLEX GIL,CD LEGANÉS,0,0,0
383,JUAN SORIANO,CD LEGANÉS,0,6,0
384,ARITZ ARAMBARRI,CD LEGANÉS,0,2,0
385,JOÃO URBÁEZ,CD LEGANÉS,0,0,0
386,ALVIN ABAJAS,CD LEGANÉS,0,0,0
387,ROBERTO LÓPEZ,CD LEGANÉS,0,13,0
388,JULIÁN CHICCO,CD LEGANÉS,0,14,0
389,MARKO DMITROVIC,CD LEGANÉS,0,32,0
390,UNAI GARCÍA,CA OSASUNA,0,3,0
391,JAVI MARTÍNEZ,CA OSASUNA,0,1,0
392,IKER BENITO,CA OSASUNA,0,2,0
393,JON MONCAYOLA,CA OSASUNA,0,32,0
394,DIMITRIOS STAMATAKIS,CA OSASUNA,0,0,0
395,MOI GÓMEZ,CA OSASUNA,0,26,0
396,RUBÉN PEÑA,CA OSASUNA,0,25,0
397,AITOR FERNÁNDEZ,CA OSASUNA,0,1,0
398,NACHO VIDAL,CA OSASUNA,0,5,0
399,JESÚS ARESO,CA OSASUNA,0,36,0
400,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,0,25,0
401,SERGIO HERRERA,CA OSASUNA,0,37,0
402,IKER MUÑOZ,CA OSASUNA,0,23,0
403,MARTÍN TEJÓN,VALENCIA CF,0,4,0
404,JESÚS VÁZQUEZ,VALENCIA CF,0,19,0
405,GIORGI MAMARDASHVILI,VALENCIA CF,0,34,0
406,STOLE DIMITRIEVSKI,VALENCIA CF,0,4,0
407,ALI FADAL,VALENCIA CF,0,0,0
408,ALBERTO MARÍ,VALENCIA CF,0,1,0
409,RODRIGO ABAJAS,VALENCIA CF,0,1,0
410,HUGO GUILLAMÓN,VALENCIA CF,0,12,0
411,RAÚL JIMÉNEZ,VALENCIA CF,0,0,0
412,THIERRY RENDALL CORREIA,VALENCIA CF,0,11,0
413,DAVID OTORBI,VALENCIA CF,0,1,0
414,DOMINGOS ANDRÉ RIBEIRO ALMEIDA,VALENCIA CF,0,34,0
415,YAREK GASIOROWSKI,VALENCIA CF,0,15,0
416,DIMITRI FOULQUIER,VALENCIA CF,0,32,0
417,JON MAGUNAZELAIA,REAL SOCIEDAD,0,2,0
418,BEÑAT TURRIENTES,REAL SOCIEDAD,0,21,0
419,AIHEN MUÑOZ,REAL SOCIEDAD,0,21,0
420,JAVI LÓPEZ,REAL SOCIEDAD,0,29,0
421,UNAI MARRERO,REAL SOCIEDAD,0,2,0
422,JON MARTÍN,REAL SOCIEDAD,0,13,0
